Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","Battery_Cell","Batteryholder AA SMD 1024",228.3750,-115.4400,180.0000,bottom
"C1","10n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",219.4100,-80.2200,90.0000,bottom
"D3","3V6","Z-Diode Minimelf",227.8525,-80.6400,90.0000,bottom
"Q1","BC 847","SOT-23W_Handsoldering",205.6900,-80.5800,270.0000,bottom
"R1","360R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",200.4900,-98.6700,-90.0000,bottom
"SW2","DPDT","Switch_MSS22D18",243.4900,-92.4700,90.0000,bottom
